trip_distance,fare_amount,tip_amount,total_amount,passenger_count,payment_type,pickup_datetime,dropoff_datetime
19.45,54.5,11.16,66.96,1,1,2018-01-26 21:56:45.000000 UTC,2018-01-26 22:32:58.000000 UTC
20.2,54.5,11.16,66.96,1,1,2018-01-31 03:36:32.000000 UTC,2018-01-31 04:15:40.000000 UTC
20.03,54.5,11.16,66.96,1,1,2018-01-10 22:37:16.000000 UTC,2018-01-10 23:11:48.000000 UTC
19.81,54.5,11.16,66.96,2,1,2018-01-13 21:26:54.000000 UTC,2018-01-13 22:02:06.000000 UTC
20.44,54.5,11.16,66.96,1,1,2018-01-29 21:40:21.000000 UTC,2018-01-29 22:11:34.000000 UTC
20.66,54.5,11.16,66.96,1,1,2018-01-22 00:13:08.000000 UTC,2018-01-22 00:40:44.000000 UTC
20.35,54.5,11.16,66.96,1,1,2018-01-24 20:06:18.000000 UTC,2018-01-24 20:38:47.000000 UTC
20.44,54.5,11.16,66.96,1,1,2018-01-15 23:20:50.000000 UTC,2018-01-15 23:50:15.000000 UTC
20.5,54.5,12,73.56,2,1,2018-01-14 21:31:35.000000 UTC,2018-01-14 22:02:01.000000 UTC
20.35,54.5,6,62.3,1,1,2018-01-30 19:56:25.000000 UTC,2018-01-30 20:30:00.000000 UTC
20.17,54.5,7,62.3,1,1,2018-01-01 08:25:01.000000 UTC,2018-01-01 08:54:54.000000 UTC
16.2,54.5,2,57.3,1,1,2018-01-11 09:18:04.000000 UTC,2018-01-11 10:17:28.000000 UTC
18.6,54.5,2,57.3,1,1,2018-01-06 12:15:12.000000 UTC,2018-01-06 12:59:13.000000 UTC
11.35,54.5,8.08,62.88,5,1,2018-01-12 12:44:13.000000 UTC,2018-01-12 13:23:43.000000 UTC
10.4,54.5,0,61.06,2,1,2018-01-20 11:53:15.000000 UTC,2018-01-20 13:12:34.000000 UTC
19.51,54.5,0,61.06,2,1,2018-01-13 16:58:13.000000 UTC,2018-01-13 17:45:25.000000 UTC
17.9,54.5,0,61.06,3,2,2018-01-22 09:48:42.000000 UTC,2018-01-22 10:34:46.000000 UTC
15.98,54.5,0,61.06,1,2,2018-01-12 14:38:13.000000 UTC,2018-01-12 15:43:45.000000 UTC
19.86,54.5,0,61.06,1,2,2018-01-01 15:46:15.000000 UTC,2018-01-01 16:23:53.000000 UTC
14.36,54.5,0,61.06,1,2,2018-01-20 11:27:45.000000 UTC,2018-01-20 12:39:23.000000 UTC
15.55,54.5,0,61.06,1,2,2018-01-20 10:22:19.000000 UTC,2018-01-20 11:16:11.000000 UTC
19.25,54.5,10,66.3,1,1,2018-01-30 16:33:35.000000 UTC,2018-01-30 17:22:16.000000 UTC
19.24,54.5,5,61.3,3,1,2018-01-19 18:52:58.000000 UTC,2018-01-19 19:38:30.000000 UTC
19.8,54.5,15.26,76.32,2,1,2018-01-25 14:28:50.000000 UTC,2018-01-25 15:06:03.000000 UTC
12.21,54.5,0,56.3,4,1,2018-01-31 17:08:58.000000 UTC,2018-01-31 18:36:01.000000 UTC
15.7,54.5,0,56.3,1,2,2018-01-18 16:43:14.000000 UTC,2018-01-18 18:00:52.000000 UTC
19.18,54.5,10,65.3,2,1,2018-01-15 12:51:18.000000 UTC,2018-01-15 13:36:29.000000 UTC
20.69,54.5,5,60.3,4,1,2018-01-05 05:59:14.000000 UTC,2018-01-05 06:26:38.000000 UTC
14.4,54.5,11.25,67.55,3,1,2018-01-08 16:45:37.000000 UTC,2018-01-08 17:55:35.000000 UTC
10,54.5,13.45,80.75,2,1,2018-01-14 15:29:38.000000 UTC,2018-01-14 16:21:19.000000 UTC
20.4,54.5,16.45,82.25,1,1,2018-01-08 23:23:20.000000 UTC,2018-01-08 23:55:50.000000 UTC
11.04,54.5,12.21,73.27,5,1,2018-01-18 10:02:16.000000 UTC,2018-01-18 11:28:56.000000 UTC
16.5,54.5,12.21,73.27,1,1,2018-01-18 08:33:58.000000 UTC,2018-01-18 09:36:36.000000 UTC
18.39,54.5,12.21,73.27,1,1,2018-01-25 08:54:12.000000 UTC,2018-01-25 09:46:24.000000 UTC
20.28,54.5,13.95,69.75,1,1,2018-01-17 01:41:49.000000 UTC,2018-01-17 02:11:03.000000 UTC
20,54.5,13.95,69.75,1,1,2018-01-07 20:59:19.000000 UTC,2018-01-07 21:37:20.000000 UTC
20.3,54.5,11.05,66.35,1,1,2018-01-27 07:57:59.000000 UTC,2018-01-27 08:26:19.000000 UTC
18.5,54.5,11.05,66.35,1,1,2018-01-27 08:18:13.000000 UTC,2018-01-27 09:01:58.000000 UTC
20.4,54.5,11.05,66.35,1,1,2018-01-01 13:09:59.000000 UTC,2018-01-01 13:43:01.000000 UTC
20.15,54.5,15.39,76.95,1,1,2018-01-11 00:50:53.000000 UTC,2018-01-11 01:27:32.000000 UTC
